day,rate,uid
2013-04-14.6,1.0,u23
2013-04-17.13,1.0,u23
2013-04-20.6,1.0,u23
2013-03-29.11,2.0,u15
2013-03-29.12,1.0,u15
2013-03-31.16,1.0,u15
2013-04-03.20,2.0,u15
2013-04-03.21,3.0,u15
2013-04-05.20,2.0,u15
2013-04-09.14,3.0,u15
2013-04-17.14,1.0,u15
2013-04-01.11,1.0,u46
2013-04-01.12,3.0,u46
2013-04-03.22,2.0,u46
2013-04-02.11,2.0,u46
2013-04-05.21,3.0,u46
2013-04-06.9,2.0,u46
2013-04-07.12,2.0,u46
2013-04-08.18,2.0,u46
2013-04-12.11,3.0,u46
2013-04-15.15,4.0,u46
2013-04-17.15,3.0,u46
2013-04-26.5,1.0,u46
2013-04-29.10,1.0,u46
2013-05-06.5,2.0,u46
2013-03-25,1.0,u00
2013-04-03.23,3.0,u00
2013-03-26,1.0,u00
2013-03-26.1,2.0,u00
2013-03-27.11,3.0,u00
2013-03-27.12,1.0,u00
2013-03-28.13,2.0,u00
2013-03-29.13,3.0,u00
2013-03-29.14,1.0,u00
2013-03-31.17,2.0,u00
2013-04-04.19,2.0,u00
2013-04-05.22,1.0,u00
2013-04-07.13,1.0,u00
2013-04-06.10,2.0,u00
2013-04-08.19,1.0,u00
2013-04-08.20,3.0,u00
2013-04-09.15,3.0,u00
2013-04-10.15,1.0,u00
2013-04-12.12,1.0,u00
2013-04-15.16,1.0,u00
2013-04-15.17,4.0,u00
2013-04-14.7,1.0,u00
2013-04-17.16,4.0,u00
2013-04-23.9,3.0,u00
2013-04-25.3,3.0,u00
2013-05-09.6,2.0,u00
2013-05-08.5,1.0,u00
2013-05-16.2,1.0,u00
2013-05-17.2,2.0,u00
2013-05-23.3,2.0,u00
2013-05-24.1,2.0,u00
2013-05-25,3.0,u00
2013-03-30.16,1.0,u25
2013-03-28.14,2.0,u25
2013-04-01.13,2.0,u25
2013-04-03.24,3.0,u25
2013-04-05.23,3.0,u25
2013-04-08.21,1.0,u25
2013-04-09.16,1.0,u25
2013-04-16.14,1.0,u25
2013-04-03.25,1.0,u44
2013-04-04.20,2.0,u44
2013-04-04.21,1.0,u44
2013-04-08.22,2.0,u44
2013-04-05.24,1.0,u44
2013-04-06.11,1.0,u44
2013-04-07.14,1.0,u44
2013-04-09.17,1.0,u44
2013-04-10.16,1.0,u44
2013-04-11.14,1.0,u44
2013-04-12.13,1.0,u44
2013-04-15.18,2.0,u44
2013-04-13.13,2.0,u44
2013-04-13.14,1.0,u44
2013-04-18.14,1.0,u44
2013-04-20.7,1.0,u44
2013-04-21.5,1.0,u44
2013-04-22.6,2.0,u44
2013-04-25.4,1.0,u44
2013-04-23.10,1.0,u44
2013-04-26.6,1.0,u44
2013-04-27.2,1.0,u44
2013-04-29.11,2.0,u44
2013-04-30.7,1.0,u44
2013-05-01.5,1.0,u44
2013-05-02.3,1.0,u44
2013-05-03.7,1.0,u44
2013-05-06.6,1.0,u44
2013-05-08.6,1.0,u44
2013-05-14.2,1.0,u44
2013-05-05.1,1.0,u44
2013-05-04,1.0,u44
2013-05-15.4,1.0,u44
2013-05-16.3,1.0,u44
2013-05-07.5,2.0,u44
2013-05-09.7,1.0,u44
2013-05-12.2,1.0,u44
2013-05-13,1.0,u44
2013-05-19.4,1.0,u44
2013-05-17.3,1.0,u44
2013-05-18.5,1.0,u44
2013-05-20.3,1.0,u44
2013-05-22.1,1.0,u44
2013-05-23.4,1.0,u44
2013-05-24.2,1.0,u44
2013-05-27.2,1.0,u44
2013-03-27.13,1.0,u18
2013-03-29.15,1.0,u18
2013-03-29.16,2.0,u18
2013-04-03.26,2.0,u18
2013-04-08.23,1.0,u18
2013-04-05.25,3.0,u18
2013-04-05.26,1.0,u18
2013-04-09.18,1.0,u18
2013-04-19.4,1.0,u18
2013-04-21.6,2.0,u18
2013-04-21.7,1.0,u18
2013-04-30.8,4.0,u18
2013-03-29.17,3.0,u49
2013-03-30.17,1.0,u49
2013-03-31.18,3.0,u49
2013-04-01.14,2.0,u49
2013-04-02.12,3.0,u49
2013-04-03.27,4.0,u49
2013-04-04.22,3.0,u49
2013-04-05.27,2.0,u49
2013-04-07.15,1.0,u49
2013-04-06.12,2.0,u49
2013-04-08.24,4.0,u49
2013-04-09.19,2.0,u49
2013-04-10.17,3.0,u49
2013-04-11.15,4.0,u49
2013-04-13.15,2.0,u49
2013-04-14.8,2.0,u49
2013-04-17.17,2.0,u49
2013-04-18.15,1.0,u49
2013-04-20.8,1.0,u49
2013-04-29.12,1.0,u49
2013-05-01.6,2.0,u49
2013-05-10.1,1.0,u49
2013-05-13.1,1.0,u49
2013-05-13.2,2.0,u49
2013-05-06.7,2.0,u49
2013-05-04.1,1.0,u49
2013-05-07.6,2.0,u49
2013-05-18.6,1.0,u49
2013-05-19.5,2.0,u49
2013-05-24.3,2.0,u49
2013-05-27.3,1.0,u49
2013-05-30.2,1.0,u49
2013-05-31,1.0,u49
2013-03-29.18,2.0,u09
2013-03-27.14,1.0,u09
2013-03-28.15,2.0,u09
2013-03-27.15,2.0,u02
2013-03-29.19,3.0,u02
2013-03-28.16,2.0,u02
2013-03-30.18,2.0,u02
2013-03-31.19,2.0,u02
2013-04-03.28,3.0,u02
2013-04-04.23,2.0,u02
2013-04-05.28,2.0,u02
2013-04-08.25,2.0,u02
2013-04-09.20,2.0,u02
2013-04-13.16,2.0,u02
2013-04-17.18,2.0,u02
2013-04-25.5,2.0,u02
2013-05-03.8,2.0,u02
2013-05-03.9,1.0,u02
2013-03-28.17,4.0,u31
2013-03-29.20,3.0,u31
2013-03-29.21,2.0,u31
2013-04-03.29,1.0,u31
2013-04-05.29,3.0,u31
2013-03-29.22,4.0,u24
2013-03-29.23,2.0,u24
2013-03-29.24,3.0,u24
2013-03-30.19,2.0,u24
2013-04-02.13,2.0,u24
2013-04-01.15,2.0,u24
2013-04-05.30,1.0,u24
2013-04-06.13,2.0,u24
2013-04-08.26,3.0,u24
2013-04-14.9,2.0,u24
2013-04-09.21,3.0,u24
2013-04-12.14,1.0,u24
2013-04-12.15,2.0,u24
2013-04-12.16,3.0,u24
2013-04-13.17,3.0,u24
2013-04-18.16,2.0,u24
2013-05-13.3,2.0,u24
2013-04-01.16,3.0,u19
2013-04-01.17,1.0,u19
2013-03-27.16,1.0,u19
2013-03-28.18,2.0,u19
2013-03-29.25,2.0,u19
2013-04-02.14,1.0,u19
2013-04-03.30,2.0,u19
2013-04-04.24,2.0,u19
2013-04-08.27,1.0,u19
2013-04-06.14,2.0,u19
2013-04-05.31,2.0,u19
2013-04-07.16,2.0,u19
2013-04-09.22,1.0,u19
2013-04-13.18,2.0,u19
2013-04-12.17,1.0,u19
2013-04-10.18,1.0,u19
2013-04-11.16,1.0,u19
2013-04-17.19,2.0,u19
2013-04-16.15,2.0,u19
2013-04-14.10,1.0,u19
2013-04-15.19,1.0,u19
2013-04-18.17,3.0,u19
2013-04-19.5,1.0,u19
2013-04-23.11,1.0,u19
2013-04-25.6,2.0,u19
2013-04-26.7,1.0,u19
2013-04-29.13,2.0,u19
2013-05-01.7,2.0,u19
2013-05-02.4,1.0,u19
2013-05-03.10,1.0,u19
2013-05-12.3,1.0,u19
2013-05-16.4,2.0,u19
2013-05-06.8,1.0,u19
2013-05-14.3,2.0,u19
2013-05-13.4,2.0,u19
2013-05-15.5,2.0,u19
2013-05-17.4,2.0,u19
2013-05-18.7,1.0,u19
2013-05-19.6,1.0,u19
2013-05-20.4,1.0,u19
2013-05-22.2,1.0,u19
2013-05-24.4,3.0,u19
2013-05-31.1,1.0,u19
2013-05-25.1,2.0,u19
2013-05-29.1,4.0,u19
2013-05-26.1,2.0,u19
2013-04-10.19,1.0,u39
2013-04-13.19,1.0,u39
2013-04-16.16,1.0,u39
2013-04-17.20,1.0,u39
2013-04-25.7,1.0,u39
2013-03-29.26,1.0,u47
2013-05-23.5,2.0,u47
2013-04-02.15,1.0,u42
2013-04-02.16,2.0,u42
2013-04-03.31,2.0,u42
2013-04-05.32,3.0,u42
2013-04-08.28,1.0,u42
2013-05-13.5,1.0,u42
2013-05-15.6,1.0,u42
2013-03-28.19,1.0,u33
2013-03-29.27,2.0,u33
2013-03-30.20,2.0,u33
2013-03-31.20,2.0,u33
2013-04-01.18,4.0,u33
2013-04-03.32,4.0,u33
2013-04-04.25,2.0,u33
2013-04-05.33,1.0,u33
2013-04-06.15,1.0,u33
2013-04-08.29,1.0,u33
2013-04-09.23,1.0,u33
2013-04-10.20,2.0,u33
2013-04-11.17,2.0,u33
2013-04-12.18,2.0,u33
2013-04-15.20,3.0,u33
2013-04-13.20,1.0,u33
2013-04-14.11,2.0,u33
2013-04-17.21,1.0,u33
2013-04-17.22,4.0,u33
2013-04-18.18,2.0,u33
2013-04-20.9,1.0,u33
2013-04-30.9,1.0,u33
2013-05-06.9,2.0,u33
2013-05-08.7,2.0,u33
2013-05-07.7,2.0,u33
2013-05-24.5,4.0,u33
2013-05-30.3,4.0,u33
2013-03-28.20,1.0,u58
2013-03-30.21,2.0,u58
2013-04-03.33,1.0,u58
2013-04-04.26,3.0,u58
2013-04-05.34,1.0,u58
2013-04-06.16,3.0,u58
2013-04-08.30,1.0,u58
2013-04-09.24,1.0,u58
2013-04-17.23,1.0,u58
2013-04-12.19,1.0,u58
2013-04-11.18,3.0,u58
2013-04-13.21,1.0,u58
2013-04-18.19,3.0,u58
2013-04-14.12,1.0,u58
2013-04-15.21,1.0,u58
2013-04-16.17,4.0,u58
2013-04-19.6,1.0,u58
2013-04-21.8,1.0,u58
2013-04-22.7,1.0,u58
2013-04-24.3,2.0,u58
2013-04-23.12,2.0,u58
2013-04-28.1,1.0,u58
2013-04-26.8,1.0,u58
2013-04-29.14,1.0,u58
2013-04-30.10,1.0,u58
2013-05-15.7,1.0,u58
2013-05-06.10,2.0,u58
2013-05-07.8,1.0,u58
2013-05-14.4,1.0,u58
2013-05-16.5,1.0,u58
2013-05-13.6,3.0,u58
2013-05-17.5,1.0,u58
2013-05-20.5,2.0,u58
2013-05-21.3,1.0,u58
2013-05-22.3,2.0,u58
2013-05-28,2.0,u58
2013-04-08.31,3.0,u56
2013-04-08.32,2.0,u56
2013-04-09.25,2.0,u56
2013-04-17.24,2.0,u56
2013-04-10.21,2.0,u56
2013-04-15.22,2.0,u56
2013-04-16.18,2.0,u56
2013-05-04.2,2.0,u56
2013-04-03.34,1.0,u20
2013-03-27.17,1.0,u20
2013-04-04.27,2.0,u20
2013-04-08.33,1.0,u20
2013-04-07.17,2.0,u20
2013-04-11.19,3.0,u20
2013-04-03.35,1.0,u34
2013-04-05.35,1.0,u34
2013-04-29.15,2.0,u34
2013-04-03.36,2.0,u01
2013-03-27.18,2.0,u01
2013-04-01.19,2.0,u01
2013-03-28.21,1.0,u01
2013-03-29.28,1.0,u01
2013-03-30.22,1.0,u01
2013-03-31.21,1.0,u01
2013-04-04.28,2.0,u01
2013-04-05.36,3.0,u01
2013-04-06.17,1.0,u01
2013-04-07.18,1.0,u01
2013-04-10.22,1.0,u01
2013-04-10.23,2.0,u01
2013-04-17.25,1.0,u01
2013-04-17.26,2.0,u01
2013-04-11.20,2.0,u01
2013-04-12.20,2.0,u01
2013-04-13.22,1.0,u01
2013-04-14.13,1.0,u01
2013-04-19.7,2.0,u01
2013-04-01.20,1.0,u53
2013-04-01.21,3.0,u53
2013-03-27.19,2.0,u53
2013-03-28.22,2.0,u53
2013-03-29.29,2.0,u53
2013-03-30.23,2.0,u53
2013-04-03.37,2.0,u53
2013-04-05.37,3.0,u53
2013-04-13.23,2.0,u53
2013-04-19.8,3.0,u53
2013-04-29.16,4.0,u53
2013-04-25.8,3.0,u53
2013-05-15.8,4.0,u53
2013-05-20.6,4.0,u53
2013-03-29.30,2.0,u16
2013-03-27.20,2.0,u16
2013-03-28.23,2.0,u16
2013-03-30.24,1.0,u16
2013-03-31.22,1.0,u16
2013-04-02.17,1.0,u16
2013-04-03.38,2.0,u16
2013-04-04.29,2.0,u16
2013-04-05.38,1.0,u16
2013-04-06.18,2.0,u16
2013-04-07.19,1.0,u16
2013-04-08.34,2.0,u16
2013-04-12.21,2.0,u16
2013-04-09.26,1.0,u16
2013-04-10.24,3.0,u16
2013-04-13.24,2.0,u16
2013-04-11.21,2.0,u16
2013-04-15.23,2.0,u16
2013-04-14.14,3.0,u16
2013-04-16.19,3.0,u16
2013-04-17.27,2.0,u16
2013-04-18.20,2.0,u16
2013-04-19.9,3.0,u16
2013-04-20.10,2.0,u16
2013-04-21.9,1.0,u16
2013-04-22.8,2.0,u16
2013-04-23.13,3.0,u16
2013-04-26.9,2.0,u16
2013-04-26.10,4.0,u16
2013-04-28.2,2.0,u16
2013-04-29.17,3.0,u16
2013-04-30.11,3.0,u16
2013-05-02.5,2.0,u16
2013-05-03.11,2.0,u16
2013-05-05.2,2.0,u16
2013-05-06.11,1.0,u16
2013-05-12.4,2.0,u16
2013-05-07.9,2.0,u16
2013-05-11.1,2.0,u16
2013-05-04.3,3.0,u16
2013-05-14.5,3.0,u16
2013-05-08.8,2.0,u16
2013-05-10.2,1.0,u16
2013-05-15.9,2.0,u16
2013-05-19.7,1.0,u16
2013-05-17.6,1.0,u16
2013-05-18.8,2.0,u16
2013-05-20.7,1.0,u16
2013-05-21.4,1.0,u16
2013-05-22.4,2.0,u16
2013-05-23.6,2.0,u16
2013-05-24.6,1.0,u16
2013-05-28.1,3.0,u16
2013-03-28.24,3.0,u54
2013-03-30.25,2.0,u54
2013-04-05.39,3.0,u54
2013-04-10.25,3.0,u54
2013-04-11.22,1.0,u54
2013-04-12.22,3.0,u54
2013-04-15.24,1.0,u54
2013-04-16.20,1.0,u54
2013-04-17.28,3.0,u54
2013-03-29.31,2.0,u35
2013-03-29.32,1.0,u35
2013-04-03.39,2.0,u35
2013-04-02.18,1.0,u35
2013-04-04.30,1.0,u35
2013-04-05.40,1.0,u35
2013-04-14.15,1.0,u35
2013-04-09.27,1.0,u35
2013-04-10.26,1.0,u35
2013-04-12.23,1.0,u35
2013-04-15.25,1.0,u35
2013-04-16.21,1.0,u35
2013-04-18.21,1.0,u35
2013-04-29.18,1.0,u35
2013-04-30.12,3.0,u35
2013-05-02.6,2.0,u35
