day,level,uid
2013-06-01.2,3.0,u17
2013-04-03.25,1.0,u23
2013-03-28.21,1.0,u23
2013-03-29.18,2.0,u23
2013-03-29.19,1.0,u23
2013-03-30.16,1.0,u23
2013-03-30.17,4.0,u23
2013-03-31.22,4.0,u23
2013-03-31.23,1.0,u23
2013-04-02.12,1.0,u23
2013-04-01.15,4.0,u23
2013-04-04.25,1.0,u23
2013-04-05.23,1.0,u23
2013-04-08.22,1.0,u23
2013-04-06.14,1.0,u23
2013-04-06.15,4.0,u23
2013-04-07.15,1.0,u23
2013-04-07.16,4.0,u23
2013-04-09.17,1.0,u23
2013-04-12.17,1.0,u23
2013-04-13.12,1.0,u23
2013-04-18.17,1.0,u23
2013-04-14.8,1.0,u23
2013-04-17.19,1.0,u23
2013-04-20.7,1.0,u23
2013-03-29.20,1.0,u15
2013-03-31.24,1.0,u15
2013-04-03.26,3.0,u15
2013-04-05.24,1.0,u15
2013-04-09.18,1.0,u15
2013-04-17.20,1.0,u15
2013-04-01.16,1.0,u46
2013-04-01.17,2.0,u46
2013-04-01.18,5.0,u46
2013-04-01.19,4.0,u46
2013-04-03.27,4.0,u46
2013-04-02.13,2.0,u46
2013-04-05.25,3.0,u46
2013-04-05.26,1.0,u46
2013-04-06.16,3.0,u46
2013-04-06.17,4.0,u46
2013-04-07.17,3.0,u46
2013-04-08.23,3.0,u46
2013-04-08.24,4.0,u46
2013-04-12.18,1.0,u46
2013-04-15.20,3.0,u46
2013-04-17.21,3.0,u46
2013-04-26.6,3.0,u46
2013-04-29.15,3.0,u46
2013-05-06.6,2.0,u46
2013-03-25,2.0,u00
2013-04-03.28,2.0,u00
2013-04-03.29,1.0,u00
2013-03-26,2.0,u00
2013-03-27.19,1.0,u00
2013-03-28.22,4.0,u00
2013-03-28.23,1.0,u00
2013-03-28.24,2.0,u00
2013-03-28.25,3.0,u00
2013-03-29.21,4.0,u00
2013-03-29.22,1.0,u00
2013-03-31.25,4.0,u00
2013-03-31.26,5.0,u00
2013-04-04.26,4.0,u00
2013-04-04.27,1.0,u00
2013-04-04.28,2.0,u00
2013-04-05.27,2.0,u00
2013-04-05.28,1.0,u00
2013-04-07.18,5.0,u00
2013-04-06.18,1.0,u00
2013-04-08.25,3.0,u00
2013-04-09.19,3.0,u00
2013-04-09.20,1.0,u00
2013-04-10.17,1.0,u00
2013-04-12.19,2.0,u00
2013-04-15.21,3.0,u00
2013-04-14.9,3.0,u00
2013-04-17.22,3.0,u00
2013-04-23.12,1.0,u00
2013-04-25.4,1.0,u00
2013-05-09.5,4.0,u00
2013-05-08.5,1.0,u00
2013-05-08.6,5.0,u00
2013-05-16.2,4.0,u00
2013-05-17.2,4.0,u00
2013-05-23.3,1.0,u00
2013-05-24.1,1.0,u00
2013-05-25,2.0,u00
2013-05-25.1,1.0,u00
2013-05-25.2,3.0,u00
2013-03-30.18,4.0,u25
2013-03-28.26,4.0,u25
2013-03-28.27,1.0,u25
2013-04-01.20,1.0,u25
2013-04-01.21,2.0,u25
2013-04-03.30,4.0,u25
2013-04-03.31,1.0,u25
2013-04-05.29,1.0,u25
2013-04-08.26,2.0,u25
2013-04-09.21,4.0,u25
2013-04-16.16,4.0,u25
2013-04-03.32,4.0,u44
2013-04-04.29,5.0,u44
2013-04-04.30,4.0,u44
2013-04-04.31,1.0,u44
2013-04-08.27,2.0,u44
2013-04-08.28,1.0,u44
2013-04-08.29,4.0,u44
2013-04-05.30,4.0,u44
2013-04-05.31,1.0,u44
2013-04-06.19,1.0,u44
2013-04-06.20,4.0,u44
2013-04-07.19,1.0,u44
2013-04-09.22,4.0,u44
2013-04-09.23,1.0,u44
2013-04-10.18,1.0,u44
2013-04-10.19,2.0,u44
2013-04-11.19,1.0,u44
2013-04-12.20,1.0,u44
2013-04-15.22,1.0,u44
2013-04-15.23,2.0,u44
2013-04-13.13,1.0,u44
2013-04-13.14,2.0,u44
2013-04-18.18,1.0,u44
2013-04-20.8,1.0,u44
2013-04-21.5,1.0,u44
2013-04-22.8,2.0,u44
2013-04-25.5,1.0,u44
2013-04-23.13,4.0,u44
2013-04-23.14,1.0,u44
2013-04-26.7,1.0,u44
2013-04-27.2,1.0,u44
2013-04-29.16,1.0,u44
2013-04-29.17,3.0,u44
2013-04-30.9,3.0,u44
2013-04-30.10,1.0,u44
2013-05-01.7,1.0,u44
2013-05-02.4,1.0,u44
2013-05-03.7,1.0,u44
2013-05-06.7,1.0,u44
2013-05-06.8,4.0,u44
2013-05-08.7,1.0,u44
2013-05-08.8,3.0,u44
2013-05-14.2,1.0,u44
2013-05-05.1,1.0,u44
2013-05-04,1.0,u44
2013-05-15.3,4.0,u44
2013-05-15.4,3.0,u44
2013-05-16.3,4.0,u44
2013-05-07.6,1.0,u44
2013-05-09.6,1.0,u44
2013-05-12.2,1.0,u44
2013-05-12.3,4.0,u44
2013-05-13,1.0,u44
2013-05-19.5,1.0,u44
2013-05-17.3,4.0,u44
2013-05-18.5,1.0,u44
2013-05-20.3,1.0,u44
2013-05-22.1,1.0,u44
2013-05-23.4,1.0,u44
2013-05-24.2,1.0,u44
2013-05-27.3,2.0,u44
2013-03-27.20,4.0,u18
2013-03-29.23,1.0,u18
2013-04-03.33,1.0,u18
2013-04-08.30,1.0,u18
2013-04-05.32,1.0,u18
2013-04-09.24,1.0,u18
2013-04-19.5,1.0,u18
2013-04-21.6,1.0,u18
2013-04-30.11,3.0,u18
2013-03-29.24,3.0,u49
2013-03-30.19,3.0,u49
2013-03-31.27,3.0,u49
2013-03-31.28,1.0,u49
2013-03-31.29,4.0,u49
2013-04-01.22,4.0,u49
2013-04-02.14,4.0,u49
2013-04-03.34,3.0,u49
2013-04-03.35,1.0,u49
2013-04-04.32,2.0,u49
2013-04-04.33,4.0,u49
2013-04-05.33,2.0,u49
2013-04-07.20,5.0,u49
2013-04-06.21,4.0,u49
2013-04-06.22,1.0,u49
2013-04-08.31,2.0,u49
2013-04-08.32,4.0,u49
2013-04-09.25,5.0,u49
2013-04-10.20,5.0,u49
2013-04-11.20,5.0,u49
2013-04-13.15,4.0,u49
2013-04-13.16,5.0,u49
2013-04-14.10,4.0,u49
2013-04-17.23,4.0,u49
2013-04-18.19,3.0,u49
2013-04-18.20,4.0,u49
2013-04-20.9,1.0,u49
2013-04-29.18,4.0,u49
2013-05-01.8,4.0,u49
2013-05-10.1,1.0,u49
2013-05-10.2,4.0,u49
2013-05-13.1,1.0,u49
2013-05-06.9,4.0,u49
2013-05-04.1,3.0,u49
2013-05-07.7,5.0,u49
2013-05-07.8,3.0,u49
2013-05-18.6,5.0,u49
2013-05-18.7,2.0,u49
2013-05-19.6,5.0,u49
2013-05-24.3,4.0,u49
2013-05-27.4,1.0,u49
2013-05-30.2,5.0,u49
2013-05-31,2.0,u49
2013-03-29.25,1.0,u09
2013-03-27.21,4.0,u09
2013-03-28.28,4.0,u09
2013-03-27.22,4.0,u02
2013-03-29.26,4.0,u02
2013-03-28.29,1.0,u02
2013-03-30.20,4.0,u02
2013-03-31.30,5.0,u02
2013-04-03.36,1.0,u02
2013-04-04.34,2.0,u02
2013-04-05.34,1.0,u02
2013-04-08.33,1.0,u02
2013-04-09.26,1.0,u02
2013-04-13.17,1.0,u02
2013-04-17.24,4.0,u02
2013-04-25.6,1.0,u02
2013-05-03.8,1.0,u02
2013-03-28.30,4.0,u31
2013-03-29.27,5.0,u31
2013-04-03.37,4.0,u31
2013-04-05.35,4.0,u31
2013-03-29.28,2.0,u24
2013-03-29.29,3.0,u24
2013-03-29.30,4.0,u24
2013-03-29.31,1.0,u24
2013-03-30.21,1.0,u24
2013-03-30.22,2.0,u24
2013-04-02.15,4.0,u24
2013-04-01.23,2.0,u24
2013-04-05.36,4.0,u24
2013-04-06.23,1.0,u24
2013-04-08.34,1.0,u24
2013-04-14.11,2.0,u24
2013-04-14.12,3.0,u24
2013-04-14.13,1.0,u24
2013-04-09.27,3.0,u24
2013-04-09.28,1.0,u24
2013-04-09.29,2.0,u24
2013-04-12.21,2.0,u24
2013-04-12.22,1.0,u24
2013-04-13.18,1.0,u24
2013-04-18.21,2.0,u24
2013-05-13.2,1.0,u24
2013-04-01.24,1.0,u19
2013-03-27.23,1.0,u19
2013-03-27.24,4.0,u19
2013-03-28.31,1.0,u19
2013-03-29.32,1.0,u19
2013-04-02.16,1.0,u19
2013-04-03.38,1.0,u19
2013-04-03.39,2.0,u19
2013-04-04.35,1.0,u19
2013-04-04.36,2.0,u19
2013-04-08.35,2.0,u19
2013-04-06.24,2.0,u19
2013-04-05.37,1.0,u19
2013-04-05.38,2.0,u19
2013-04-07.21,3.0,u19
2013-04-09.30,1.0,u19
2013-04-09.31,2.0,u19
2013-04-13.19,2.0,u19
2013-04-12.23,1.0,u19
2013-04-10.21,2.0,u19
2013-04-11.21,2.0,u19
2013-04-17.25,2.0,u19
2013-04-16.17,2.0,u19
2013-04-14.14,2.0,u19
2013-04-15.24,1.0,u19
2013-04-15.25,2.0,u19
2013-04-18.22,2.0,u19
2013-04-19.6,1.0,u19
2013-04-23.15,1.0,u19
2013-04-25.7,2.0,u19
2013-04-26.8,1.0,u19
2013-04-29.19,3.0,u19
2013-04-29.20,2.0,u19
2013-05-01.9,2.0,u19
2013-05-02.5,2.0,u19
2013-05-03.9,1.0,u19
2013-05-12.4,4.0,u19
2013-05-16.4,3.0,u19
2013-05-16.5,1.0,u19
2013-05-06.10,1.0,u19
2013-05-14.3,1.0,u19
2013-05-13.3,2.0,u19
2013-05-15.5,1.0,u19
2013-05-15.6,4.0,u19
2013-05-17.4,3.0,u19
2013-05-18.8,3.0,u19
2013-05-19.7,4.0,u19
2013-05-20.4,4.0,u19
2013-05-20.5,1.0,u19
2013-05-22.2,1.0,u19
2013-05-22.3,4.0,u19
2013-05-24.4,1.0,u19
2013-05-24.5,4.0,u19
2013-05-31.1,5.0,u19
2013-05-25.3,1.0,u19
2013-05-25.4,3.0,u19
2013-05-29.1,4.0,u19
2013-05-26.1,2.0,u19
2013-04-10.22,1.0,u39
2013-04-13.20,1.0,u39
2013-04-16.18,1.0,u39
2013-04-17.26,1.0,u39
2013-04-25.8,1.0,u39
2013-03-29.33,1.0,u47
2013-05-23.5,4.0,u47
2013-04-02.17,5.0,u42
2013-04-03.40,5.0,u42
2013-04-05.39,4.0,u42
2013-04-08.36,2.0,u42
2013-05-13.4,1.0,u42
2013-05-15.7,5.0,u42
2013-03-28.32,4.0,u33
2013-03-29.34,1.0,u33
2013-03-30.23,1.0,u33
2013-03-31.31,4.0,u33
2013-04-01.25,2.0,u33
2013-04-03.41,2.0,u33
2013-04-04.37,2.0,u33
2013-04-05.40,1.0,u33
2013-04-06.25,4.0,u33
2013-04-06.26,1.0,u33
2013-04-08.37,4.0,u33
2013-04-09.32,4.0,u33
2013-04-10.23,1.0,u33
2013-04-10.24,4.0,u33
2013-04-11.22,4.0,u33
2013-04-12.24,4.0,u33
2013-04-12.25,1.0,u33
2013-04-15.26,4.0,u33
2013-04-13.21,4.0,u33
2013-04-14.15,1.0,u33
2013-04-17.27,3.0,u33
2013-04-17.28,2.0,u33
2013-04-18.23,4.0,u33
2013-04-20.10,5.0,u33
2013-04-30.12,2.0,u33
2013-04-30.13,3.0,u33
2013-05-06.11,3.0,u33
2013-05-08.9,3.0,u33
2013-05-07.9,3.0,u33
2013-05-24.6,3.0,u33
2013-05-24.7,4.0,u33
2013-05-30.3,2.0,u33
2013-03-28.33,1.0,u58
2013-03-30.24,4.0,u58
2013-04-03.42,1.0,u58
2013-04-04.38,2.0,u58
2013-04-05.41,2.0,u58
2013-04-05.42,1.0,u58
2013-04-06.27,1.0,u58
2013-04-08.38,1.0,u58
2013-04-09.33,1.0,u58
2013-04-09.34,5.0,u58
2013-04-17.29,2.0,u58
2013-04-12.26,5.0,u58
2013-04-11.23,1.0,u58
2013-04-13.22,1.0,u58
2013-04-18.24,2.0,u58
2013-04-14.16,2.0,u58
2013-04-15.27,2.0,u58
2013-04-15.28,1.0,u58
2013-04-16.19,2.0,u58
2013-04-19.7,1.0,u58
2013-04-21.7,5.0,u58
2013-04-22.9,2.0,u58
2013-04-24.4,1.0,u58
2013-04-23.16,5.0,u58
2013-04-23.17,1.0,u58
2013-04-28.1,2.0,u58
2013-04-26.9,2.0,u58
2013-04-29.21,2.0,u58
2013-04-29.22,1.0,u58
2013-04-30.14,2.0,u58
2013-05-15.8,1.0,u58
2013-05-06.12,2.0,u58
2013-05-07.10,1.0,u58
2013-05-07.11,2.0,u58
2013-05-14.4,1.0,u58
2013-05-16.6,2.0,u58
2013-05-13.5,5.0,u58
2013-05-17.5,2.0,u58
2013-05-20.6,2.0,u58
2013-05-21.4,2.0,u58
2013-05-21.5,1.0,u58
2013-05-22.4,1.0,u58
2013-05-28,1.0,u58
2013-04-08.39,5.0,u56
2013-04-08.40,4.0,u56
2013-04-08.41,1.0,u56
2013-04-09.35,1.0,u56
2013-04-09.36,5.0,u56
2013-04-17.30,5.0,u56
2013-04-10.25,5.0,u56
2013-04-15.29,2.0,u56
2013-04-16.20,2.0,u56
2013-05-04.2,5.0,u56
2013-04-03.43,1.0,u20
2013-03-27.25,4.0,u20
2013-04-04.39,1.0,u20
2013-04-08.42,1.0,u20
2013-04-07.22,1.0,u20
2013-04-11.24,2.0,u20
2013-04-03.44,1.0,u34
2013-04-03.45,4.0,u34
2013-04-05.43,1.0,u34
2013-04-29.23,1.0,u34
2013-04-03.46,1.0,u01
2013-03-27.26,4.0,u01
2013-04-01.26,2.0,u01
2013-03-28.34,4.0,u01
2013-03-29.35,1.0,u01
2013-03-30.25,1.0,u01
2013-03-30.26,5.0,u01
2013-03-31.32,1.0,u01
2013-04-04.40,4.0,u01
2013-04-05.44,4.0,u01
2013-04-06.28,4.0,u01
2013-04-06.29,5.0,u01
2013-04-07.23,1.0,u01
2013-04-10.26,1.0,u01
2013-04-10.27,2.0,u01
2013-04-17.31,1.0,u01
2013-04-11.25,1.0,u01
2013-04-12.27,1.0,u01
2013-04-13.23,4.0,u01
2013-04-14.17,1.0,u01
2013-04-19.8,4.0,u01
2013-04-01.27,2.0,u53
2013-04-01.28,1.0,u53
2013-03-27.27,1.0,u53
2013-03-28.35,1.0,u53
2013-03-29.36,1.0,u53
2013-03-30.27,2.0,u53
2013-04-03.47,4.0,u53
2013-04-03.48,1.0,u53
2013-04-05.45,3.0,u53
2013-04-05.46,4.0,u53
2013-04-13.24,1.0,u53
2013-04-19.9,1.0,u53
2013-04-29.24,1.0,u53
2013-04-29.25,2.0,u53
2013-04-25.9,1.0,u53
2013-05-15.9,1.0,u53
2013-05-20.7,1.0,u53
2013-03-29.37,1.0,u16
2013-03-27.28,1.0,u16
2013-03-28.36,1.0,u16
2013-03-30.28,1.0,u16
2013-03-31.33,4.0,u16
2013-04-02.18,1.0,u16
2013-04-03.49,2.0,u16
2013-04-03.50,4.0,u16
2013-04-03.51,1.0,u16
2013-04-04.41,1.0,u16
2013-04-05.47,4.0,u16
2013-04-05.48,1.0,u16
2013-04-06.30,4.0,u16
2013-04-07.24,1.0,u16
2013-04-08.43,3.0,u16
2013-04-08.44,2.0,u16
2013-04-12.28,4.0,u16
2013-04-12.29,1.0,u16
2013-04-09.37,1.0,u16
2013-04-10.28,1.0,u16
2013-04-10.29,2.0,u16
2013-04-10.30,3.0,u16
2013-04-13.25,1.0,u16
2013-04-11.26,3.0,u16
2013-04-11.27,1.0,u16
2013-04-15.30,3.0,u16
2013-04-14.18,3.0,u16
2013-04-14.19,1.0,u16
2013-04-14.20,2.0,u16
2013-04-16.21,1.0,u16
2013-04-17.32,1.0,u16
2013-04-18.25,1.0,u16
2013-04-18.26,2.0,u16
2013-04-19.10,2.0,u16
2013-04-19.11,3.0,u16
2013-04-20.11,2.0,u16
2013-04-21.8,3.0,u16
2013-04-22.10,3.0,u16
2013-04-23.18,1.0,u16
2013-04-26.10,3.0,u16
2013-04-28.2,3.0,u16
2013-04-29.26,3.0,u16
2013-04-30.15,3.0,u16
2013-04-30.16,4.0,u16
2013-05-02.6,1.0,u16
2013-05-03.10,3.0,u16
2013-05-05.2,2.0,u16
2013-05-06.13,3.0,u16
2013-05-12.5,1.0,u16
2013-05-07.12,2.0,u16
2013-05-07.13,3.0,u16
2013-05-11.2,4.0,u16
2013-05-11.3,1.0,u16
2013-05-04.3,1.0,u16
2013-05-14.5,2.0,u16
2013-05-08.10,1.0,u16
2013-05-10.3,3.0,u16
2013-05-15.10,2.0,u16
2013-05-15.11,4.0,u16
2013-05-19.8,4.0,u16
2013-05-19.9,1.0,u16
2013-05-17.6,4.0,u16
2013-05-18.9,1.0,u16
2013-05-20.8,3.0,u16
2013-05-20.9,1.0,u16
2013-05-20.10,4.0,u16
2013-05-21.6,2.0,u16
2013-05-21.7,3.0,u16
2013-05-22.5,1.0,u16
2013-05-23.6,3.0,u16
2013-05-23.7,2.0,u16
2013-05-24.8,2.0,u16
2013-05-24.9,1.0,u16
2013-05-28.1,3.0,u16
2013-03-28.37,1.0,u54
2013-03-30.29,1.0,u54
2013-04-05.49,3.0,u54
2013-04-05.50,1.0,u54
2013-04-10.31,1.0,u54
2013-04-11.28,1.0,u54
2013-04-12.30,2.0,u54
2013-04-15.31,1.0,u54
2013-04-16.22,1.0,u54
2013-04-17.33,4.0,u54
2013-03-29.38,4.0,u35
2013-03-29.39,1.0,u35
2013-04-03.52,1.0,u35
2013-04-02.19,1.0,u35
2013-04-04.42,4.0,u35
2013-04-05.51,4.0,u35
2013-04-14.21,4.0,u35
2013-04-09.38,4.0,u35
2013-04-10.32,1.0,u35
2013-04-12.31,1.0,u35
2013-04-15.32,1.0,u35
2013-04-16.23,1.0,u35
2013-04-18.27,2.0,u35
2013-04-18.28,1.0,u35
2013-04-29.27,3.0,u35
2013-04-29.28,1.0,u35
2013-04-30.17,1.0,u35
2013-05-02.7,1.0,u35
